Id_Atenci¢n;Fecha;Hora_Acceso1;Turno;Posic1;delta1;deltaMinuto1;Desp1;delta2;HoraFechaPos1;HoraFechaDesp1;deltafecha2;Responsable;Tipo_carga;Min_Espera_O1;Min_Atenci¢n_O1;SUMA_ATENCION_O1_delta_3;Responsable_O1;Min_Atenci¢n_O2_delta_4;Responsable_O2;Min_port_salida_delta_5
72;27-01-2017;8:46:00;T1;8:48:01;0:02:01;2.01667;8:49:37;0:01:36;27-01-17 8:48:01;27-01-17 8:49:37;1.600000007;Inv1;Textil;1.28;7.72;9.00;Inv4;30.87;Inv5;0.48
75;27-01-2017;8:48:00;T1;8:49:17;0:01:17;1.28333;8:51:31;0:02:14;27-01-17 8:49:17;27-01-17 8:51:31;2.233333332;Inv1;Textil;1.28;7.72;9.00;Inv4;38.58;Inv5;0.04
78;27-01-2017;8:51:00;T1;8:52:21;0:01:21;1.35000;8:53:47;0:01:26;27-01-17 8:52:21;27-01-17 8:53:47;1.433333333;Inv1;Textil;0.02;5.45;5.47;Inv4;27.25;Inv5;0.92
81;27-01-2017;8:50:00;T1;8:53:10;0:03:10;3.16667;8:57:16;0:04:06;27-01-17 8:53:10;27-01-17 8:57:16;4.100000005;Inv1;Textil;5.83;0.33;6.17;Inv4;1.33;Inv5;0.03
82;27-01-2017;8:52:00;T1;8:53:59;0:01:59;1.98333;8:55:02;0:01:03;27-01-17 8:53:59;27-01-17 8:55:02;1.050000004;Inv1;Medicamentos;2.40;1.02;3.42;Inv4;3.05;Inv5;0.31
84;27-01-2017;8:52:00;T1;8:54:54;0:02:54;2.90000;8:57:09;0:02:15;27-01-17 8:54:54;27-01-17 8:57:09;2.250000002;Inv1;Textil;3.63;4.68;8.32;Inv4;18.73;Inv5;0.48
87;27-01-2017;8:54:00;T1;8:57:44;0:03:44;3.73333;9:01:26;0:03:42;27-01-17 8:57:44;27-01-17 9:01:26;3.699999995;Inv1;Textil;3.63;4.68;8.32;Inv4;14.05;Inv5;0.70
89;27-01-2017;8:55:00;T1;8:58:13;0:03:13;3.21667;8:59:26;0:01:13;27-01-17 8:58:13;27-01-17 8:59:26;1.216666668;Inv1;Textos ;3.63;4.68;8.32;Inv4;14.05;Inv5;1.00
90;27-01-2017;8:54:00;T1;8:59:56;0:05:56;5.93333;9:01:50;0:01:54;27-01-17 8:59:56;27-01-17 9:01:50;1.900000004;Inv1;Textil;1.82;7.98;9.80;Inv4;31.93;Inv5;0.60
91;27-01-2017;8:52:00;T1;9:02:00;0:10:00;10.00000;9:02:05;0:00:05;27-01-17 9:02:00;27-01-17 9:02:05;0.083333342;Inv1;Medicamentos;8.67;6.98;15.65;Inv4;34.92;Inv5;0.15
97;27-01-2017;9:12:00;T1;9:12:48;0:00:48;0.80000;9:14:06;0:01:18;27-01-17 9:12:48;27-01-17 9:14:06;1.3;Inv1;Medicamentos;0.72;5.53;6.25;Inv4;33.20;Inv5;0.51
98;27-01-2017;9:14:00;T1;9:15:08;0:01:08;1.13333;9:16:02;0:00:54;27-01-17 9:15:08;27-01-17 9:16:02;0.900000001;Inv1;Textil;0.72;5.53;6.25;Inv4;33.20;Inv5;0.07
100;27-01-2017;9:13:00;T1;9:18:27;0:05:27;5.45000;9:19:47;0:01:20;27-01-17 9:18:27;27-01-17 9:19:47;1.333333341;Inv1;Textil;0.72;5.53;6.25;Inv4;27.67;Inv5;0.76
101;27-01-2017;9:18:00;T1;9:19:22;0:01:22;1.36667;9:21:32;0:02:10;27-01-17 9:19:22;27-01-17 9:21:32;2.16666667;Inv1;Textil;3.88;5.95;9.83;Inv4;23.80;Inv5;0.05
103;27-01-2017;9:19:00;T1;9:20:17;0:01:17;1.28333;9:21:31;0:01:14;27-01-17 9:20:17;27-01-17 9:21:31;1.233333339;Inv1;Textos ;0.82;4.77;5.58;Inv4;23.83;Inv5;0.31
105;27-01-2017;9:20:00;T1;9:21:54;0:01:54;1.90000;9:22:59;0:01:05;27-01-17 9:21:54;27-01-17 9:22:59;1.083333335;Inv1;Textil;1.08;7.58;8.67;Inv4;22.75;Inv5;0.52
106;27-01-2017;9:21:00;T1;9:22:18;0:01:18;1.30000;9:23:41;0:01:23;27-01-17 9:22:18;27-01-17 9:23:41;1.383333342;Inv1;Textil;1.08;7.58;8.67;Inv4;45.50;Inv5;0.54
109;27-01-2017;9:24:00;T1;9:24:53;0:00:53;0.88333;9:26:41;0:01:48;27-01-17 9:24:53;27-01-17 9:26:41;1.800000002;Inv1;Textil;1.08;7.58;8.67;Inv4;37.92;Inv5;0.73
110;27-01-2017;9:24:00;T1;9:25:11;0:01:11;1.18333;9:27:33;0:02:22;27-01-17 9:25:11;27-01-17 9:27:33;2.366666665;Inv1;Textil;0.70;1.60;2.30;Inv4;9.60;Inv5;0.46
111;27-01-2017;9:24:00;T1;9:25:23;0:01:23;1.38333;9:26:41;0:01:18;27-01-17 9:25:23;27-01-17 9:26:41;1.3;Inv1;Textil;0.03;3.57;3.60;Inv4;21.40;Inv5;0.01
115;27-01-2017;9:26:00;T1;9:28:09;0:02:09;2.15000;9:29:39;0:01:30;27-01-17 9:28:09;27-01-17 9:29:39;1.499999994;Inv1;Textos ;0.42;2.00;2.42;Inv4;10.00;Inv5;0.72
116;27-01-2017;9:26:00;T1;9:28:15;0:02:15;2.25000;9:31:21;0:03:06;27-01-17 9:28:15;27-01-17 9:31:21;3.100000002;Inv1;Textil;0.65;1.30;1.95;Inv4;6.50;Inv5;0.27
117;27-01-2017;9:26:00;T1;9:28:34;0:02:34;2.56667;9:29:27;0:00:53;27-01-17 9:28:34;27-01-17 9:29:27;0.88333333;Inv1;Textos ;0.02;4.25;4.27;Inv4;21.25;Inv5;0.75
118;27-01-2017;9:27:00;T1;9:28:39;0:01:39;1.65000;9:30:13;0:01:34;27-01-17 9:28:39;27-01-17 9:30:13;1.566666666;Inv1;Textos ;0.02;4.25;4.27;Inv4;17.00;Inv5;0.70
122;27-01-2017;9:29:00;T1;9:31:38;0:02:38;2.63333;9:32:24;0:00:46;27-01-17 9:31:38;27-01-17 9:32:24;0.766666668;Inv1;Medicamentos;0.02;4.25;4.27;Inv4;12.75;Inv5;0.34
123;27-01-2017;9:26:00;T1;9:31:45;0:05:45;5.75000;9:34:27;0:02:42;27-01-17 9:31:45;27-01-17 9:34:27;2.699999992;Inv1;Textil;0.07;1.43;1.50;Inv4;7.17;Inv5;0.57
125;27-01-2017;9:34:00;T1;9:35:13;0:01:13;1.21667;9:36:33;0:01:20;27-01-17 9:35:13;27-01-17 9:36:33;1.333333341;Inv1;Textos ;1.65;0.68;2.33;Inv4;2.73;Inv5;0.37
126;27-01-2017;9:34:00;T1;9:35:33;0:01:33;1.55000;9:38:07;0:02:34;27-01-17 9:35:33;27-01-17 9:38:07;2.566666669;Inv1;Textos ;0.50;1.65;2.15;Inv4;4.95;Inv5;0.25
127;27-01-2017;9:34:00;T1;9:35:42;0:01:42;1.70000;9:37:23;0:01:41;27-01-17 9:35:42;27-01-17 9:37:23;1.683333339;Inv1;Textos ;1.42;0.80;2.22;Inv4;4.00;Inv5;0.93
128;27-01-2017;9:38:00;T1;9:39:03;0:01:03;1.05000;9:41:47;0:02:44;27-01-17 9:39:03;27-01-17 9:41:47;2.733333333;Inv1;Textos ;0.88;1.40;2.28;Inv4;7.00;Inv5;0.06
130;27-01-2017;9:40:00;T1;9:41:44;0:01:44;1.73333;9:46:04;0:04:20;27-01-17 9:41:44;27-01-17 9:46:04;4.33333333;Inv1;Textos ;0.17;1.98;2.15;Inv4;5.95;Inv5;0.83
131;27-01-2017;9:40:00;T1;9:41:53;0:01:53;1.88333;9:43:07;0:01:14;27-01-17 9:41:53;27-01-17 9:43:07;1.233333328;Inv1;Textil;0.17;1.98;2.15;Inv4;11.90;Inv5;0.11
132;27-01-2017;9:40:00;T1;9:42:07;0:02:07;2.11667;9:43:06;0:00:59;27-01-17 9:42:07;27-01-17 9:43:06;0.983333333;Inv1;Medicamentos;1.70;1.13;2.83;Inv4;3.40;Inv5;0.49
133;27-01-2017;9:42:00;T1;9:46:05;0:04:05;4.08333;9:46:17;0:00:12;27-01-17 9:46:05;27-01-17 9:46:17;0.199999994;Inv1;Textos ;0.78;11.30;12.08;Inv4;67.80;Inv5;0.76
134;27-01-2017;9:27:00;T1;9:46:43;0:19:43;19.71667;9:46:48;0:00:05;27-01-17 9:46:43;27-01-17 9:46:48;0.083333332;Inv1;Textos ;0.55;4.47;5.02;Inv4;26.80;Inv5;0.59
136;27-01-2017;9:47:00;T1;9:49:33;0:02:33;2.55000;9:51:03;0:01:30;27-01-17 9:49:33;27-01-17 9:51:03;1.500000005;Inv1;Textil;1.10;1.62;2.72;Inv4;6.47;Inv5;0.62
137;27-01-2017;9:47:00;T1;9:49:49;0:02:49;2.81667;9:50:55;0:01:06;27-01-17 9:49:49;27-01-17 9:50:55;1.099999995;Inv1;Textil;1.13;1.43;2.57;Inv4;5.73;Inv5;0.28
138;27-01-2017;9:48:00;T1;9:51:16;0:03:16;3.26667;9:52:51;0:01:35;27-01-17 9:51:16;27-01-17 9:52:51;1.583333337;Inv1;Textos ;1.12;1.03;2.15;Inv4;3.10;Inv5;0.56
139;27-01-2017;9:49:00;T1;9:51:20;0:02:20;2.33333;9:52:42;0:01:22;27-01-17 9:51:20;27-01-17 9:52:42;1.366666661;Inv1;Textos ;0.62;6.77;7.38;Inv4;33.83;Inv5;0.57
140;27-01-2017;9:51:00;T1;9:53:43;0:02:43;2.71667;9:55:26;0:01:43;27-01-17 9:53:43;27-01-17 9:55:26;1.716666659;Inv1;Textos ;1.08;1.85;2.93;Inv4;5.55;Inv5;0.05
141;27-01-2017;9:51:00;T1;9:53:51;0:02:51;2.85000;9:55:19;0:01:28;27-01-17 9:53:51;27-01-17 9:55:19;1.466666664;Inv1;Textil;0.78;0.60;1.38;Inv4;1.80;Inv5;0.08
142;27-01-2017;9:51:00;T1;9:53:54;0:02:54;2.90000;9:54:31;0:00:37;27-01-17 9:53:54;27-01-17 9:54:31;0.616666675;Inv1;Medicamentos;1.50;0.50;2.00;Inv4;1.50;Inv5;0.09
143;27-01-2017;9:52:00;T1;9:54:48;0:02:48;2.80000;9:55:58;0:01:10;27-01-17 9:54:48;27-01-17 9:55:58;1.166666667;Inv1;Medicamentos;1.58;0.92;2.50;Inv4;5.50;Inv5;0.09
144;27-01-2017;9:53:00;T1;9:55:14;0:02:14;2.23333;9:57:06;0:01:52;27-01-17 9:55:14;27-01-17 9:57:06;1.866666663;Inv1;Textos ;0.55;6.35;6.90;Inv4;25.40;Inv5;0.39
145;27-01-2017;9:51:00;T1;9:55:45;0:04:45;4.75000;9:57:11;0:01:26;27-01-17 9:55:45;27-01-17 9:57:11;1.433333333;Inv1;Textil;0.28;0.25;0.53;Inv4;1.25;Inv5;0.94
146;27-01-2017;9:53:00;T1;9:56:14;0:03:14;3.23333;9:57:00;0:00:46;27-01-17 9:56:14;27-01-17 9:57:00;0.766666668;Inv1;Medicamentos;0.25;0.58;0.83;Inv4;3.50;Inv5;0.90
147;27-01-2017;9:55:00;T1;9:56:23;0:01:23;1.38333;9:57:38;0:01:15;27-01-17 9:56:23;27-01-17 9:57:38;1.249999999;Inv1;Textil;0.25;0.58;0.83;Inv4;1.75;Inv5;0.00
148;27-01-2017;9:55:00;T1;9:56:35;0:01:35;1.58333;9:58:37;0:02:02;27-01-17 9:56:35;27-01-17 9:58:37;2.033333327;Inv1;Textil;0.70;9.12;9.82;Inv4;45.58;Inv5;0.84
149;27-01-2017;9:57:00;T1;9:57:43;0:00:43;0.71667;9:59:50;0:02:07;27-01-17 9:57:43;27-01-17 9:59:50;2.116666669;Inv1;Medicamentos;1.18;2.08;3.27;Inv4;8.33;Inv5;0.81
150;27-01-2017;9:57:00;T1;9:58:03;0:01:03;1.05000;9:59:19;0:01:16;27-01-17 9:58:03;27-01-17 9:59:19;1.266666669;Inv1;Textil;0.48;1.07;1.55;Inv4;6.40;Inv5;0.34
153;27-01-2017;8:46:00;T1;9:59:03;1:13:03;73.05000;9:59:22;0:00:19;27-01-17 9:59:03;27-01-17 9:59:22;0.316666657;Inv1;Medicamentos;0.48;1.07;1.55;Inv4;3.20;Inv5;0.04
154;27-01-2017;9:58:00;T1;9:59:37;0:01:37;1.61667;10:00:57;0:01:20;27-01-17 9:59:37;27-01-17 10:00:57;1.333333331;Inv1;Textos ;0.48;1.07;1.55;Inv4;4.27;Inv5;0.25
156;27-01-2017;9:57:00;T1;10:00:03;0:03:03;3.05000;10:01:31;0:01:28;27-01-17 10:00:03;27-01-17 10:01:31;1.466666664;Inv1;Medicamentos;0.48;1.07;1.55;Inv4;4.27;Inv5;0.81
159;27-01-2017;9:59:00;T1;10:01:15;0:02:15;2.25000;10:02:25;0:01:10;27-01-17 10:01:15;27-01-17 10:02:25;1.166666667;Inv1;Textos ;0.48;1.07;1.55;Inv4;6.40;Inv5;0.13
160;27-01-2017;10:01:00;T1;10:02:47;0:01:47;1.78333;10:04:28;0:01:41;27-01-17 10:02:47;27-01-17 10:04:28;1.683333339;Inv1;Textil;0.48;1.07;1.55;Inv4;3.20;Inv5;0.90
161;27-01-2017;10:02:00;T1;10:03:05;0:01:05;1.08333;10:05:01;0:01:56;27-01-17 10:03:05;27-01-17 10:05:01;1.933333324;Inv1;Textos ;0.48;1.07;1.55;Inv4;3.20;Inv5;0.80
169;27-01-2017;10:08:00;T1;10:09:58;0:01:58;1.96667;10:12:13;0:02:15;27-01-17 10:09:58;27-01-17 10:12:13;2.250000002;Inv1;Textil;0.48;1.07;1.55;Inv4;6.40;Inv5;0.87
171;27-01-2017;10:10:00;T1;10:12:51;0:02:51;2.85000;10:14:16;0:01:25;27-01-17 10:12:51;27-01-17 10:14:16;1.416666663;Inv1;Textil;1.00;0.28;1.28;Inv4;1.42;Inv5;0.34
172;27-01-2017;10:11:00;T1;10:13:09;0:02:09;2.15000;10:15:31;0:02:22;27-01-17 10:13:09;27-01-17 10:15:31;2.366666665;Inv1;Textil;3.05;3.18;6.23;Inv4;12.73;Inv5;0.60
173;27-01-2017;10:11:00;T1;10:13:25;0:02:25;2.41667;10:15:24;0:01:59;27-01-17 10:13:25;27-01-17 10:15:24;1.983333336;Inv1;Textil;1.12;1.22;2.33;Inv4;3.65;Inv5;0.74
175;27-01-2017;10:13:00;T1;10:14:47;0:01:47;1.78333;10:15:49;0:01:02;27-01-17 10:14:47;27-01-17 10:15:49;1.033333323;Inv1;Textos ;0.68;1.23;1.92;Inv4;7.40;Inv5;0.35
177;27-01-2017;10:12:00;T1;10:15:43;0:03:43;3.71667;10:17:30;0:01:47;27-01-17 10:15:43;27-01-17 10:17:30;1.783333331;Inv1;Textos ;2.08;0.15;2.23;Inv4;0.90;Inv5;0.54
178;27-01-2017;10:15:00;T1;10:15:56;0:00:56;0.93333;10:16:21;0:00:25;27-01-17 10:15:56;27-01-17 10:16:21;0.41666667;Inv1;Medicamentos;2.17;0.17;2.33;Inv4;0.67;Inv5;0.43
179;27-01-2017;10:14:00;T1;10:16:07;0:02:07;2.11667;10:17:21;0:01:14;27-01-17 10:16:07;27-01-17 10:17:21;1.233333328;Inv1;Textos ;0.83;1.00;1.83;Inv4;4.00;Inv5;0.44
180;27-01-2017;10:15:00;T1;10:16:40;0:01:40;1.66667;10:18:35;0:01:55;27-01-17 10:16:40;27-01-17 10:18:35;1.916666675;Inv1;Textos ;0.60;1.50;2.10;Inv4;7.50;Inv5;0.95
186;27-01-2017;10:22:00;T1;10:23:09;0:01:09;1.15000;10:24:29;0:01:20;27-01-17 10:23:09;27-01-17 10:24:29;1.333333331;Inv1;Textil;0.72;0.12;0.83;Inv4;0.47;Inv5;0.97
187;27-01-2017;10:22:00;T1;10:23:15;0:01:15;1.25000;10:26:06;0:02:51;27-01-17 10:23:15;27-01-17 10:26:06;2.849999996;Inv1;Medicamentos;0.40;6.85;7.25;Inv4;20.55;Inv5;0.38
190;27-01-2017;10:24:00;T1;10:25:32;0:01:32;1.53333;10:25:36;0:00:04;27-01-17 10:25:32;27-01-17 10:25:36;0.066666661;Inv1;Medicamentos;0.83;6.42;7.25;Inv4;32.08;Inv5;0.40
191;27-01-2017;10:25:00;T1;10:25:47;0:00:47;0.78333;10:30:02;0:04:15;27-01-17 10:25:47;27-01-17 10:30:02;4.249999998;Inv1;Medicamentos;0.50;0.20;0.70;Inv4;0.80;Inv5;0.08
192;27-01-2017;9:26:00;T1;10:26:56;1:00:56;60.93333;10:28:08;0:01:12;27-01-17 10:26:56;27-01-17 10:28:08;1.200000008;Inv1;Textil;5.27;3.35;8.62;Inv4;13.40;Inv5;0.94
193;27-01-2017;10:28:00;T1;10:29:59;0:01:59;1.98333;10:30:23;0:00:24;27-01-17 10:29:59;27-01-17 10:30:23;0.399999999;Inv1;Medicamentos;0.67;6.95;7.62;Inv4;41.70;Inv5;0.38
194;27-01-2017;10:28:00;T1;10:30:27;0:02:27;2.45000;10:33:01;0:02:34;27-01-17 10:30:27;27-01-17 10:33:01;2.566666669;Inv1;Medicamentos;1.05;0.22;1.27;Inv4;0.65;Inv5;0.75
196;27-01-2017;10:28:00;T1;10:30:38;0:02:38;2.63333;10:32:47;0:02:09;27-01-17 10:30:38;27-01-17 10:32:47;2.15;Inv1;Medicamentos;1.05;0.22;1.27;Inv4;1.30;Inv5;0.32
197;27-01-2017;10:28:00;T1;10:30:38;0:02:38;2.63333;10:31:41;0:01:03;27-01-17 10:30:38;27-01-17 10:31:41;1.049999994;Inv1;Textos ;0.17;1.72;1.88;Inv4;5.15;Inv5;0.69
199;27-01-2017;8:55:00;T1;10:32:02;1:37:02;97.03333;10:34:56;0:02:54;27-01-17 10:32:02;27-01-17 10:34:56;2.899999997;Inv1;Textil;0.17;0.80;0.97;Inv4;4.00;Inv5;0.16
201;27-01-2017;10:29:00;T1;10:33:16;0:04:16;4.26667;10:34:07;0:00:51;27-01-17 10:33:16;27-01-17 10:34:07;0.85;Inv1;Medicamentos;1.00;1.57;2.57;Inv4;6.27;Inv5;0.98
202;27-01-2017;10:09:00;T1;10:33:55;0:24:55;24.91667;10:34:51;0:00:56;27-01-17 10:33:55;27-01-17 10:34:51;0.933333331;Inv1;Textos ;1.00;1.57;2.57;Inv4;6.27;Inv5;0.69
203;27-01-2017;10:29:00;T1;10:34:26;0:05:26;5.43333;10:35:27;0:01:01;27-01-17 10:34:26;27-01-17 10:35:27;1.016666663;Inv1;Medicamentos;0.62;4.78;5.40;Inv4;28.70;Inv5;0.31
204;27-01-2017;10:00:00;T1;10:35:18;0:35:18;35.30000;10:37:13;0:01:55;27-01-17 10:35:18;27-01-17 10:37:13;1.916666664;Inv1;Medicamentos;0.62;4.78;5.40;Inv4;28.70;Inv5;0.72
207;27-01-2017;10:33:00;T1;10:35:54;0:02:54;2.90000;11:35:55;1:00:01;27-01-17 10:35:54;27-01-17 11:35:55;60.01666667;Inv1;Medicamentos;0.62;4.78;5.40;Inv4;14.35;Inv5;0.78
208;27-01-2017;10:35:00;T1;10:36:09;0:01:09;1.15000;10:37:20;0:01:11;27-01-17 10:36:09;27-01-17 10:37:20;1.183333327;Inv1;Textos ;0.62;4.78;5.40;Inv4;19.13;Inv5;0.81
209;27-01-2017;10:35:00;T1;10:36:45;0:01:45;1.75000;10:37:03;0:00:18;27-01-17 10:36:45;27-01-17 10:37:03;0.300000007;Inv1;Medicamentos;1.50;5.50;7.00;Inv4;16.50;Inv5;0.36
210;27-01-2017;10:35:00;T1;10:37:27;0:02:27;2.45000;10:37:31;0:00:04;27-01-17 10:37:27;27-01-17 10:37:31;0.066666661;Inv1;Medicamentos;0.42;1.95;2.37;Inv4;11.70;Inv5;0.75
214;27-01-2017;10:36:00;T1;10:39:14;0:03:14;3.23333;10:40:25;0:01:11;27-01-17 10:39:14;27-01-17 10:40:25;1.183333338;Inv1;Textos ;0.38;0.98;1.37;Inv4;5.90;Inv5;0.36
215;27-01-2017;10:38:00;T1;10:39:46;0:01:46;1.76667;10:41:46;0:02:00;27-01-17 10:39:46;27-01-17 10:41:46;1.999999996;Inv1;Textil;0.92;0.17;1.08;Inv4;1.00;Inv5;0.63
216;27-01-2017;10:38:00;T1;10:40:39;0:02:39;2.65000;10:42:21;0:01:42;27-01-17 10:40:39;27-01-17 10:42:21;1.699999999;Inv1;Textil;0.83;1.28;2.12;Inv4;6.42;Inv5;0.15
217;27-01-2017;10:36:00;T1;10:40:40;0:04:40;4.66667;10:42:02;0:01:22;27-01-17 10:40:40;27-01-17 10:42:02;1.366666672;Inv1;Textos ;1.23;1.92;3.15;Inv4;7.67;Inv5;0.62
219;27-01-2017;10:39:00;T1;10:41:52;0:02:52;2.86667;10:43:14;0:01:22;27-01-17 10:41:52;27-01-17 10:43:14;1.366666672;Inv1;Textil;1.67;0.45;2.12;Inv4;1.80;Inv5;0.30
220;27-01-2017;10:42:00;T1;10:43:31;0:01:31;1.51667;10:44:31;0:01:00;27-01-17 10:43:31;27-01-17 10:44:31;1.000000003;Inv1;Medicamentos;1.75;0.22;1.97;Inv4;0.65;Inv5;0.68
221;27-01-2017;10:42:00;T1;10:43:56;0:01:56;1.93333;10:45:19;0:01:23;27-01-17 10:43:56;27-01-17 10:45:19;1.383333332;Inv1;Textil;2.50;0.83;3.33;Inv4;5.00;Inv5;0.11
228;27-01-2017;10:48:00;T1;10:49:11;0:01:11;1.18333;10:50:29;0:01:18;27-01-17 10:49:11;27-01-17 10:50:29;1.3;Inv1;Textil;0.92;0.08;1.00;Inv4;0.42;Inv5;0.17
230;27-01-2017;10:49:00;T1;10:50:36;0:01:36;1.60000;10:51:55;0:01:19;27-01-17 10:50:36;27-01-17 10:51:55;1.316666671;Inv1;Medicamentos;0.17;0.87;1.03;Inv4;4.33;Inv5;0.29
231;27-01-2017;10:54:00;T1;10:54:38;0:00:38;0.63333;10:54:41;0:00:03;27-01-17 10:54:38;27-01-17 10:54:41;0.050000001;Inv1;Textil;0.33;0.42;0.75;Inv4;2.08;Inv5;0.74
232;27-01-2017;10:54:00;T1;10:54:40;0:00:40;0.66667;10:55:50;0:01:10;27-01-17 10:54:40;27-01-17 10:55:50;1.166666667;Inv1;Medicamentos;0.03;4.80;4.83;Inv4;24.00;Inv5;0.19
234;27-01-2017;10:55:00;T1;10:56:20;0:01:20;1.33333;10:56:30;0:00:10;27-01-17 10:56:20;27-01-17 10:56:30;0.166666674;Inv1;Medicamentos;0.03;4.80;4.83;Inv4;28.80;Inv5;0.78
235;27-01-2017;10:52:00;T1;10:56:21;0:04:21;4.35000;10:57:26;0:01:05;27-01-17 10:56:21;27-01-17 10:57:26;1.083333335;Inv1;Medicamentos;0.03;4.80;4.83;Inv4;24.00;Inv5;0.88
236;27-01-2017;9:47:00;T1;10:56:42;1:09:42;69.70000;10:58:26;0:01:44;27-01-17 10:56:42;27-01-17 10:58:26;1.73333334;Inv1;Textil;0.03;4.80;4.83;Inv4;14.40;Inv5;0.91
237;27-01-2017;10:56:00;T1;10:57:00;0:01:00;1.00000;10:58:35;0:01:35;27-01-17 10:57:00;27-01-17 10:58:35;1.583333326;Inv1;Medicamentos;0.03;4.80;4.83;Inv4;19.20;Inv5;0.24
238;27-01-2017;10:51:00;T1;10:59:38;0:08:38;8.63333;11:06:02;0:06:24;27-01-17 10:59:38;27-01-17 11:06:02;6.399999998;Inv1;Medicamentos;0.03;4.80;4.83;Inv4;14.40;Inv5;0.99
239;27-01-2017;10:59:00;T1;11:00:09;0:01:09;1.15000;11:03:06;0:02:57;27-01-17 11:00:09;27-01-17 11:03:06;2.950000009;Inv1;Textil;0.03;4.80;4.83;Inv4;14.40;Inv5;0.88
243;27-01-2017;11:04:00;T1;11:05:21;0:01:21;1.35000;11:07:02;0:01:41;27-01-17 11:05:21;27-01-17 11:07:02;1.683333339;Inv1;Alimentos no perecibles;0.03;4.80;4.83;Inv4;28.80;Inv5;0.83
244;27-01-2017;11:05:00;T1;11:05:53;0:00:53;0.88333;11:07:45;0:01:52;27-01-17 11:05:53;27-01-17 11:07:45;1.866666673;Inv1;Medicamentos;1.18;0.87;2.05;Inv4;5.20;Inv5;0.95
248;27-01-2017;11:10:00;T1;11:12:26;0:02:26;2.43333;11:13:15;0:00:49;27-01-17 11:12:26;27-01-17 11:13:15;0.816666669;Inv1;Medicamentos;1.13;6.12;7.25;Inv4;18.35;Inv5;0.44
250;27-01-2017;11:12:00;T1;11:13:16;0:01:16;1.26667;11:14:57;0:01:41;27-01-17 11:13:16;27-01-17 11:14:57;1.683333329;Inv1;Medicamentos;0.33;1.25;1.58;Inv4;5.00;Inv5;0.79
252;27-01-2017;8:45:00;T1;11:15:26;2:30:26;150.43333;11:16:55;0:01:29;27-01-17 11:15:26;27-01-17 11:16:55;1.483333334;Inv1;Textil;0.60;0.98;1.58;Inv4;2.95;Inv5;0.22
253;27-01-2017;11:17:00;T1;11:18:15;0:01:15;1.25000;11:18:41;0:00:26;27-01-17 11:18:15;27-01-17 11:18:41;0.43333334;Inv1;Medicamentos;0.60;1.40;2.00;Inv4;7.00;Inv5;0.95
