Id_Atención;Patente;Fecha;Hora_Acceso1;Turno;Posic1;Desp1;delta_1;HoraFechaPos1;HoraFechaDesp1;delta_2;Responsable;Tipo_carga;Min_Espera_O1;Min_Atención_O1;delta_3;Responsable_O1;delta_4;Responsable_O2;delta_5
75;RA2319-8;27-01-2017;8:48:00;T1;8:49:17;8:51:31;1,283333333;27-01-2017 8:49;27-01-2017 8:51;2,233333332;Inv1;Textil;1,28;7,72;9;Inv4;38,58;Inv5;0,04
78;HFVH39-8;27-01-2017;8:51:00;T1;8:52:21;8:53:47;1,35;27-01-2017 8:52;27-01-2017 8:53;1,433333333;Inv1;Textil;0,02;5,45;5,47;Inv4;27,25;Inv5;0,92
81;HFJJ91-8;27-01-2017;8:50:00;T1;8:53:10;8:57:16;3,166666667;27-01-2017 8:53;27-01-2017 8:57;4,100000005;Inv1;Textil;5,83;0,33;6,17;Inv4;1,33;Inv5;0,03
82;DPWP12-8;27-01-2017;8:52:00;T1;8:53:59;8:55:02;1,983333333;27-01-2017 8:53;27-01-2017 8:55;1,050000004;Inv1;Medicamentos;2,4;1,02;3,42;Inv4;3,05;Inv5;0,31
84;HTDH13-8;27-01-2017;8:52:00;T1;8:54:54;8:57:09;2,9;27-01-2017 8:54;27-01-2017 8:57;2,250000002;Inv1;Textil;3,63;4,68;8,32;Inv4;18,73;Inv5;0,48
87;CSKD15-8;27-01-2017;8:54:00;T1;8:57:44;9:01:26;3,733333333;27-01-2017 8:57;27-01-2017 9:01;3,699999995;Inv1;Textil;3,63;4,68;8,32;Inv4;14,05;Inv5;0,7
89;YY3752-8;27-01-2017;8:55:00;T1;8:58:13;8:59:26;3,216666667;27-01-2017 8:58;27-01-2017 8:59;1,216666668;Inv1;Textos ;3,63;4,68;8,32;Inv4;14,05;Inv5;1
90;RG3473-8;27-01-2017;8:54:00;T1;8:59:56;9:01:50;5,933333333;27-01-2017 8:59;27-01-2017 9:01;1,900000004;Inv1;Textil;1,82;7,98;9,8;Inv4;31,93;Inv5;0,6
91;RB2925-9;27-01-2017;8:52:00;T1;9:02:00;9:02:05;10;27-01-2017 9:02;27-01-2017 9:02;0,083333342;Inv1;Medicamentos;8,67;6,98;15,65;Inv4;34,92;Inv5;0,15
97;XB5404-9;27-01-2017;9:12:00;T1;9:12:48;9:14:06;0,8;27-01-2017 9:12;27-01-2017 9:14;1,3;Inv1;Medicamentos;0,72;5,53;6,25;Inv4;33,2;Inv5;0,51
98;HKXW68-9;27-01-2017;9:14:00;T1;9:15:08;9:16:02;1,133333333;27-01-2017 9:15;27-01-2017 9:16;0,900000001;Inv1;Textil;0,72;5,53;6,25;Inv4;33,2;Inv5;0,07
100;GKRC29-9;27-01-2017;9:13:00;T1;9:18:27;9:19:47;5,45;27-01-2017 9:18;27-01-2017 9:19;1,333333341;Inv1;Textil;0,72;5,53;6,25;Inv4;27,67;Inv5;0,76
101;HSLP88-9;27-01-2017;9:18:00;T1;9:19:22;9:21:32;1,366666667;27-01-2017 9:19;27-01-2017 9:21;2,16666667;Inv1;Textil;3,88;5,95;9,83;Inv4;23,8;Inv5;0,05
103;SL3924-9;27-01-2017;9:19:00;T1;9:20:17;9:21:31;1,283333333;27-01-2017 9:20;27-01-2017 9:21;1,233333339;Inv1;Textos ;0,82;4,77;5,58;Inv4;23,83;Inv5;0,31
105;WY8197-9;27-01-2017;9:20:00;T1;9:21:54;9:22:59;1,9;27-01-2017 9:21;27-01-2017 9:22;1,083333335;Inv1;Textil;1,08;7,58;8,67;Inv4;22,75;Inv5;0,52
106;DVVJ61-9;27-01-2017;9:21:00;T1;9:22:18;9:23:41;1,3;27-01-2017 9:22;27-01-2017 9:23;1,383333342;Inv1;Textil;1,08;7,58;8,67;Inv4;45,5;Inv5;0,54
109;HCCW37-9;27-01-2017;9:24:00;T1;9:24:53;9:26:41;0,883333333;27-01-2017 9:24;27-01-2017 9:26;1,800000002;Inv1;Textil;1,08;7,58;8,67;Inv4;37,92;Inv5;0,73
110;YS7833-9;27-01-2017;9:24:00;T1;9:25:11;9:27:33;1,183333333;27-01-2017 9:25;27-01-2017 9:27;2,366666665;Inv1;Textil;0,7;1,6;2,3;Inv4;9,6;Inv5;0,46
111;DVVJ64-9;27-01-2017;9:24:00;T1;9:25:23;9:26:41;1,383333333;27-01-2017 9:25;27-01-2017 9:26;1,3;Inv1;Textil;0,03;3,57;3,6;Inv4;21,4;Inv5;0,01
115;GXTW72-9;27-01-2017;9:26:00;T1;9:28:09;9:29:39;2,15;27-01-2017 9:28;27-01-2017 9:29;1,499999994;Inv1;Textos ;0,42;2;2,42;Inv4;10;Inv5;0,72
116;LD9232-9;27-01-2017;9:26:00;T1;9:28:15;9:31:21;2,25;27-01-2017 9:28;27-01-2017 9:31;3,100000002;Inv1;Textil;0,65;1,3;1,95;Inv4;6,5;Inv5;0,27
117;KJI612-9;27-01-2017;9:26:00;T1;9:28:34;9:29:27;2,566666667;27-01-2017 9:28;27-01-2017 9:29;0,88333333;Inv1;Textos ;0,02;4,25;4,27;Inv4;21,25;Inv5;0,75
118;SD8494-9;27-01-2017;9:27:00;T1;9:28:39;9:30:13;1,65;27-01-2017 9:28;27-01-2017 9:30;1,566666666;Inv1;Textos ;0,02;4,25;4,27;Inv4;17;Inv5;0,7
122;HCKF21-9;27-01-2017;9:29:00;T1;9:31:38;9:32:24;2,633333333;27-01-2017 9:31;27-01-2017 9:32;0,766666668;Inv1;Medicamentos;0,02;4,25;4,27;Inv4;12,75;Inv5;0,34
123;DRRW82-9;27-01-2017;9:26:00;T1;9:31:45;9:34:27;5,75;27-01-2017 9:31;27-01-2017 9:34;2,699999992;Inv1;Textil;0,07;1,43;1,5;Inv4;7,17;Inv5;0,57
125;WG7098-9;27-01-2017;9:34:00;T1;9:35:13;9:36:33;1,216666667;27-01-2017 9:35;27-01-2017 9:36;1,333333341;Inv1;Textos ;1,65;0,68;2,33;Inv4;2,73;Inv5;0,37
126;ERD875-9;27-01-2017;9:34:00;T1;9:35:33;9:38:07;1,55;27-01-2017 9:35;27-01-2017 9:38;2,566666669;Inv1;Textos ;0,5;1,65;2,15;Inv4;4,95;Inv5;0,25
127;TB6760-9;27-01-2017;9:34:00;T1;9:35:42;9:37:23;1,7;27-01-2017 9:35;27-01-2017 9:37;1,683333339;Inv1;Textos ;1,42;0,8;2,22;Inv4;4;Inv5;0,93
128;ELE748-9;27-01-2017;9:38:00;T1;9:39:03;9:41:47;1,05;27-01-2017 9:39;27-01-2017 9:41;2,733333333;Inv1;Textos ;0,88;1,4;2,28;Inv4;7;Inv5;0,06
130;YK5316-9;27-01-2017;9:40:00;T1;9:41:44;9:46:04;1,733333333;27-01-2017 9:41;27-01-2017 9:46;4,33333333;Inv1;Textos ;0,17;1,98;2,15;Inv4;5,95;Inv5;0,83
131;DBHC50-9;27-01-2017;9:40:00;T1;9:41:53;9:43:07;1,883333333;27-01-2017 9:41;27-01-2017 9:43;1,233333328;Inv1;Textil;0,17;1,98;2,15;Inv4;11,9;Inv5;0,11
132;UC7332-9;27-01-2017;9:40:00;T1;9:42:07;9:43:06;2,116666667;27-01-2017 9:42;27-01-2017 9:43;0,983333333;Inv1;Medicamentos;1,7;1,13;2,83;Inv4;3,4;Inv5;0,49
133;WU2064-9;27-01-2017;9:42:00;T1;9:46:05;9:46:17;4,083333333;27-01-2017 9:46;27-01-2017 9:46;0,199999994;Inv1;Textos ;0,78;11,3;12,08;Inv4;67,8;Inv5;0,76
134;HKFD61-9;27-01-2017;9:27:00;T1;9:46:43;9:46:48;19,71666667;27-01-2017 9:46;27-01-2017 9:46;0,083333332;Inv1;Textos ;0,55;4,47;5,02;Inv4;26,8;Inv5;0,59
136;DBDF48-9;27-01-2017;9:47:00;T1;9:49:33;9:51:03;2,55;27-01-2017 9:49;27-01-2017 9:51;1,500000005;Inv1;Textil;1,1;1,62;2,72;Inv4;6,47;Inv5;0,62
137;GGCR64-9;27-01-2017;9:47:00;T1;9:49:49;9:50:55;2,816666667;27-01-2017 9:49;27-01-2017 9:50;1,099999995;Inv1;Textil;1,13;1,43;2,57;Inv4;5,73;Inv5;0,28
138;NU7869-9;27-01-2017;9:48:00;T1;9:51:16;9:52:51;3,266666667;27-01-2017 9:51;27-01-2017 9:52;1,583333337;Inv1;Textos ;1,12;1,03;2,15;Inv4;3,1;Inv5;0,56
139;DP2386-9;27-01-2017;9:49:00;T1;9:51:20;9:52:42;2,333333333;27-01-2017 9:51;27-01-2017 9:52;1,366666661;Inv1;Textos ;0,62;6,77;7,38;Inv4;33,83;Inv5;0,57
140;GRRV74-9;27-01-2017;9:51:00;T1;9:53:43;9:55:26;2,716666667;27-01-2017 9:53;27-01-2017 9:55;1,716666659;Inv1;Textos ;1,08;1,85;2,93;Inv4;5,55;Inv5;0,05
141;DPRL57-9;27-01-2017;9:51:00;T1;9:53:51;9:55:19;2,85;27-01-2017 9:53;27-01-2017 9:55;1,466666664;Inv1;Textil;0,78;0,6;1,38;Inv4;1,8;Inv5;0,08
142;BVXW64-9;27-01-2017;9:51:00;T1;9:53:54;9:54:31;2,9;27-01-2017 9:53;27-01-2017 9:54;0,616666675;Inv1;Medicamentos;1,5;0,5;2;Inv4;1,5;Inv5;0,09
143;CWGG45-9;27-01-2017;9:52:00;T1;9:54:48;9:55:58;2,8;27-01-2017 9:54;27-01-2017 9:55;1,166666667;Inv1;Medicamentos;1,58;0,92;2,5;Inv4;5,5;Inv5;0,09
144;FPCR13-9;27-01-2017;9:53:00;T1;9:55:14;9:57:06;2,233333333;27-01-2017 9:55;27-01-2017 9:57;1,866666663;Inv1;Textos ;0,55;6,35;6,9;Inv4;25,4;Inv5;0,39
145;DRDZ53-9;27-01-2017;9:51:00;T1;9:55:45;9:57:11;4,75;27-01-2017 9:55;27-01-2017 9:57;1,433333333;Inv1;Textil;0,28;0,25;0,53;Inv4;1,25;Inv5;0,94
146;ZS7479-9;27-01-2017;9:53:00;T1;9:56:14;9:57:00;3,233333333;27-01-2017 9:56;27-01-2017 9:57;0,766666668;Inv1;Medicamentos;0,25;0,58;0,83;Inv4;3,5;Inv5;0,9
147;NC6058-9;27-01-2017;9:55:00;T1;9:56:23;9:57:38;1,383333333;27-01-2017 9:56;27-01-2017 9:57;1,249999999;Inv1;Textil;0,25;0,58;0,83;Inv4;1,75;Inv5;0
148;UW1939-9;27-01-2017;9:55:00;T1;9:56:35;9:58:37;1,583333333;27-01-2017 9:56;27-01-2017 9:58;2,033333327;Inv1;Textil;0,7;9,12;9,82;Inv4;45,58;Inv5;0,84
149;CVHT69-9;27-01-2017;9:57:00;T1;9:57:43;9:59:50;0,716666667;27-01-2017 9:57;27-01-2017 9:59;2,116666669;Inv1;Medicamentos;1,18;2,08;3,27;Inv4;8,33;Inv5;0,81
150;NW9454-9;27-01-2017;9:57:00;T1;9:58:03;9:59:19;1,05;27-01-2017 9:58;27-01-2017 9:59;1,266666669;Inv1;Textil;0,48;1,07;1,55;Inv4;6,4;Inv5;0,34
153;WY7994-9;27-01-2017;8:46:00;T1;9:59:03;9:59:22;73,05;27-01-2017 9:59;27-01-2017 9:59;0,316666657;Inv1;Medicamentos;0,48;1,07;1,55;Inv4;3,2;Inv5;0,04
154;XJ2568-9;27-01-2017;9:58:00;T1;9:59:37;10:00:57;1,616666667;27-01-2017 9:59;27-01-2017 10:00;1,333333331;Inv1;Textos ;0,48;1,07;1,55;Inv4;4,27;Inv5;0,25
156;DLTT40-10;27-01-2017;9:57:00;T1;10:00:03;10:01:31;3,05;27-01-2017 10:00;27-01-2017 10:01;1,466666664;Inv1;Medicamentos;0,48;1,07;1,55;Inv4;4,27;Inv5;0,81
159;TP9696-10;27-01-2017;9:59:00;T1;10:01:15;10:02:25;2,25;27-01-2017 10:01;27-01-2017 10:02;1,166666667;Inv1;Textos ;0,48;1,07;1,55;Inv4;6,4;Inv5;0,13
160;LZ3845-10;27-01-2017;10:01:00;T1;10:02:47;10:04:28;1,783333333;27-01-2017 10:02;27-01-2017 10:04;1,683333339;Inv1;Textil;0,48;1,07;1,55;Inv4;3,2;Inv5;0,9
161;KN3300-10;27-01-2017;10:02:00;T1;10:03:05;10:05:01;1,083333333;27-01-2017 10:03;27-01-2017 10:05;1,933333324;Inv1;Textos ;0,48;1,07;1,55;Inv4;3,2;Inv5;0,8
169;SV8974-10;27-01-2017;10:08:00;T1;10:09:58;10:12:13;1,966666667;27-01-2017 10:09;27-01-2017 10:12;2,250000002;Inv1;Textil;0,48;1,07;1,55;Inv4;6,4;Inv5;0,87
171;VP1376-10;27-01-2017;10:10:00;T1;10:12:51;10:14:16;2,85;27-01-2017 10:12;27-01-2017 10:14;1,416666663;Inv1;Textil;1;0,28;1,28;Inv4;1,42;Inv5;0,34
172;CDWZ79-10;27-01-2017;10:11:00;T1;10:13:09;10:15:31;2,15;27-01-2017 10:13;27-01-2017 10:15;2,366666665;Inv1;Textil;3,05;3,18;6,23;Inv4;12,73;Inv5;0,6
173;XH5462-10;27-01-2017;10:11:00;T1;10:13:25;10:15:24;2,416666667;27-01-2017 10:13;27-01-2017 10:15;1,983333336;Inv1;Textil;1,12;1,22;2,33;Inv4;3,65;Inv5;0,74
175;ZU5681-10;27-01-2017;10:13:00;T1;10:14:47;10:15:49;1,783333333;27-01-2017 10:14;27-01-2017 10:15;1,033333323;Inv1;Textos ;0,68;1,23;1,92;Inv4;7,4;Inv5;0,35
177;GSGD19-10;27-01-2017;10:12:00;T1;10:15:43;10:17:30;3,716666667;27-01-2017 10:15;27-01-2017 10:17;1,783333331;Inv1;Textos ;2,08;0,15;2,23;Inv4;0,9;Inv5;0,54
178;CGJS44-10;27-01-2017;10:15:00;T1;10:15:56;10:16:21;0,933333333;27-01-2017 10:15;27-01-2017 10:16;0,41666667;Inv1;Medicamentos;2,17;0,17;2,33;Inv4;0,67;Inv5;0,43
179;FHRR89-10;27-01-2017;10:14:00;T1;10:16:07;10:17:21;2,116666667;27-01-2017 10:16;27-01-2017 10:17;1,233333328;Inv1;Textos ;0,83;1;1,83;Inv4;4;Inv5;0,44
180;GHVP38-10;27-01-2017;10:15:00;T1;10:16:40;10:18:35;1,666666667;27-01-2017 10:16;27-01-2017 10:18;1,916666675;Inv1;Textos ;0,6;1,5;2,1;Inv4;7,5;Inv5;0,95
186;LP2044-10;27-01-2017;10:22:00;T1;10:23:09;10:24:29;1,15;27-01-2017 10:23;27-01-2017 10:24;1,333333331;Inv1;Textil;0,72;0,12;0,83;Inv4;0,47;Inv5;0,97
187;DLJX38-10;27-01-2017;10:22:00;T1;10:23:15;10:26:06;1,25;27-01-2017 10:23;27-01-2017 10:26;2,849999996;Inv1;Medicamentos;0,4;6,85;7,25;Inv4;20,55;Inv5;0,38
190;NE4744-10;27-01-2017;10:24:00;T1;10:25:32;10:25:36;1,533333333;27-01-2017 10:25;27-01-2017 10:25;0,066666661;Inv1;Medicamentos;0,83;6,42;7,25;Inv4;32,08;Inv5;0,4
191;CKDL95-10;27-01-2017;10:25:00;T1;10:25:47;10:30:02;0,783333333;27-01-2017 10:25;27-01-2017 10:30;4,249999998;Inv1;Medicamentos;0,5;0,2;0,7;Inv4;0,8;Inv5;0,08
192;LD9232-10;27-01-2017;9:26:00;T1;10:26:56;10:28:08;60,93333333;27-01-2017 10:26;27-01-2017 10:28;1,200000008;Inv1;Textil;5,27;3,35;8,62;Inv4;13,4;Inv5;0,94
193;NE4747-10;27-01-2017;10:28:00;T1;10:29:59;10:30:23;1,983333333;27-01-2017 10:29;27-01-2017 10:30;0,399999999;Inv1;Medicamentos;0,67;6,95;7,62;Inv4;41,7;Inv5;0,38
194;DPJR57-10;27-01-2017;10:28:00;T1;10:30:27;10:33:01;2,45;27-01-2017 10:30;27-01-2017 10:33;2,566666669;Inv1;Medicamentos;1,05;0,22;1,27;Inv4;0,65;Inv5;0,75
196;WR7507-10;27-01-2017;10:28:00;T1;10:30:38;10:32:47;2,633333333;27-01-2017 10:30;27-01-2017 10:32;2,15;Inv1;Medicamentos;1,05;0,22;1,27;Inv4;1,3;Inv5;0,32
197;YK5843-10;27-01-2017;10:28:00;T1;10:30:38;10:31:41;2,633333333;27-01-2017 10:30;27-01-2017 10:31;1,049999994;Inv1;Textos ;0,17;1,72;1,88;Inv4;5,15;Inv5;0,69
199;LB3889-10;27-01-2017;8:55:00;T1;10:32:02;10:34:56;97,03333333;27-01-2017 10:32;27-01-2017 10:34;2,899999997;Inv1;Textil;0,17;0,8;0,97;Inv4;4;Inv5;0,16
201;HGXX68-10;27-01-2017;10:29:00;T1;10:33:16;10:34:07;4,266666667;27-01-2017 10:33;27-01-2017 10:34;0,85;Inv1;Medicamentos;1;1,57;2,57;Inv4;6,27;Inv5;0,98
202;HLZF55-10;27-01-2017;10:09:00;T1;10:33:55;10:34:51;24,91666667;27-01-2017 10:33;27-01-2017 10:34;0,933333331;Inv1;Textos ;1;1,57;2,57;Inv4;6,27;Inv5;0,69
203;JGZT49-10;27-01-2017;10:29:00;T1;10:34:26;10:35:27;5,433333333;27-01-2017 10:34;27-01-2017 10:35;1,016666663;Inv1;Medicamentos;0,62;4,78;5,4;Inv4;28,7;Inv5;0,31
204;ZH8708-10;27-01-2017;10:00:00;T1;10:35:18;10:37:13;35,3;27-01-2017 10:35;27-01-2017 10:37;1,916666664;Inv1;Medicamentos;0,62;4,78;5,4;Inv4;28,7;Inv5;0,72
207;RB2925-10;27-01-2017;10:33:00;T1;10:35:54;11:35:55;2,9;27-01-2017 10:35;27-01-2017 11:35;60,01666667;Inv1;Medicamentos;0,62;4,78;5,4;Inv4;14,35;Inv5;0,78
208;HKFT85-10;27-01-2017;10:35:00;T1;10:36:09;10:37:20;1,15;27-01-2017 10:36;27-01-2017 10:37;1,183333327;Inv1;Textos ;0,62;4,78;5,4;Inv4;19,13;Inv5;0,81
209;PW4426-10;27-01-2017;10:35:00;T1;10:36:45;10:37:03;1,75;27-01-2017 10:36;27-01-2017 10:37;0,300000007;Inv1;Medicamentos;1,5;5,5;7;Inv4;16,5;Inv5;0,36
210;DXCZ27-10;27-01-2017;10:35:00;T1;10:37:27;10:37:31;2,45;27-01-2017 10:37;27-01-2017 10:37;0,066666661;Inv1;Medicamentos;0,42;1,95;2,37;Inv4;11,7;Inv5;0,75
214;CRDC79-10;27-01-2017;10:36:00;T1;10:39:14;10:40:25;3,233333333;27-01-2017 10:39;27-01-2017 10:40;1,183333338;Inv1;Textos ;0,38;0,98;1,37;Inv4;5,9;Inv5;0,36
215;NC9131-10;27-01-2017;10:38:00;T1;10:39:46;10:41:46;1,766666667;27-01-2017 10:39;27-01-2017 10:41;1,999999996;Inv1;Textil;0,92;0,17;1,08;Inv4;1;Inv5;0,63
216;BPVB77-10;27-01-2017;10:38:00;T1;10:40:39;10:42:21;2,65;27-01-2017 10:40;27-01-2017 10:42;1,699999999;Inv1;Textil;0,83;1,28;2,12;Inv4;6,42;Inv5;0,15
217;FPTY89-10;27-01-2017;10:36:00;T1;10:40:40;10:42:02;4,666666667;27-01-2017 10:40;27-01-2017 10:42;1,366666672;Inv1;Textos ;1,23;1,92;3,15;Inv4;7,67;Inv5;0,62
219;ND1866-10;27-01-2017;10:39:00;T1;10:41:52;10:43:14;2,866666667;27-01-2017 10:41;27-01-2017 10:43;1,366666672;Inv1;Textil;1,67;0,45;2,12;Inv4;1,8;Inv5;0,3
220;CGHV63-10;27-01-2017;10:42:00;T1;10:43:31;10:44:31;1,516666667;27-01-2017 10:43;27-01-2017 10:44;1,000000003;Inv1;Medicamentos;1,75;0,22;1,97;Inv4;0,65;Inv5;0,68
221;ZB6578-10;27-01-2017;10:42:00;T1;10:43:56;10:45:19;1,933333333;27-01-2017 10:43;27-01-2017 10:45;1,383333332;Inv1;Textil;2,5;0,83;3,33;Inv4;5;Inv5;0,11
228;FBXD94-10;27-01-2017;10:48:00;T1;10:49:11;10:50:29;1,183333333;27-01-2017 10:49;27-01-2017 10:50;1,3;Inv1;Textil;0,92;0,08;1;Inv4;0,42;Inv5;0,17
230;WG4207-10;27-01-2017;10:49:00;T1;10:50:36;10:51:55;1,6;27-01-2017 10:50;27-01-2017 10:51;1,316666671;Inv1;Medicamentos;0,17;0,87;1,03;Inv4;4,33;Inv5;0,29
231;RG6799-10;27-01-2017;10:54:00;T1;10:54:38;10:54:41;0,633333333;27-01-2017 10:54;27-01-2017 10:54;0,050000001;Inv1;Textil;0,33;0,42;0,75;Inv4;2,08;Inv5;0,74
232;WJ7763-10;27-01-2017;10:54:00;T1;10:54:40;10:55:50;0,666666667;27-01-2017 10:54;27-01-2017 10:55;1,166666667;Inv1;Medicamentos;0,03;4,8;4,83;Inv4;24;Inv5;0,19
234;KX9684-10;27-01-2017;10:55:00;T1;10:56:20;10:56:30;1,333333333;27-01-2017 10:56;27-01-2017 10:56;0,166666674;Inv1;Medicamentos;0,03;4,8;4,83;Inv4;28,8;Inv5;0,78
235;HVZW99-10;27-01-2017;10:52:00;T1;10:56:21;10:57:26;4,35;27-01-2017 10:56;27-01-2017 10:57;1,083333335;Inv1;Medicamentos;0,03;4,8;4,83;Inv4;24;Inv5;0,88
236;DPJR60-10;27-01-2017;9:47:00;T1;10:56:42;10:58:26;69,7;27-01-2017 10:56;27-01-2017 10:58;1,73333334;Inv1;Textil;0,03;4,8;4,83;Inv4;14,4;Inv5;0,91
237;VY6641-10;27-01-2017;10:56:00;T1;10:57:00;10:58:35;1;27-01-2017 10:57;27-01-2017 10:58;1,583333326;Inv1;Medicamentos;0,03;4,8;4,83;Inv4;19,2;Inv5;0,24
238;BTO653-10;27-01-2017;10:51:00;T1;10:59:38;11:06:02;8,633333333;27-01-2017 10:59;27-01-2017 11:06;6,399999998;Inv1;Medicamentos;0,03;4,8;4,83;Inv4;14,4;Inv5;0,99
239;TF1007-11;27-01-2017;10:59:00;T1;11:00:09;11:03:06;1,15;27-01-2017 11:00;27-01-2017 11:03;2,950000009;Inv1;Textil;0,03;4,8;4,83;Inv4;14,4;Inv5;0,88
243;GFBV69-11;27-01-2017;11:04:00;T1;11:05:21;11:07:02;1,35;27-01-2017 11:05;27-01-2017 11:07;1,683333339;Inv1;Alimentos no perecibles;0,03;4,8;4,83;Inv4;28,8;Inv5;0,83
244;GKDT16-11;27-01-2017;11:05:00;T1;11:05:53;11:07:45;0,883333333;27-01-2017 11:05;27-01-2017 11:07;1,866666673;Inv1;Medicamentos;1,18;0,87;2,05;Inv4;5,2;Inv5;0,95
248;BBPL34-11;27-01-2017;11:10:00;T1;11:12:26;11:13:15;2,433333333;27-01-2017 11:12;27-01-2017 11:13;0,816666669;Inv1;Medicamentos;1,13;6,12;7,25;Inv4;18,35;Inv5;0,44
250;RZ3227-11;27-01-2017;11:12:00;T1;11:13:16;11:14:57;1,266666667;27-01-2017 11:13;27-01-2017 11:14;1,683333329;Inv1;Medicamentos;0,33;1,25;1,58;Inv4;5;Inv5;0,79
252;PG8032-11;27-01-2017;8:45:00;T1;11:15:26;11:16:55;150,4333333;27-01-2017 11:15;27-01-2017 11:16;1,483333334;Inv1;Textil;0,6;0,98;1,58;Inv4;2,95;Inv5;0,22
253;XF3679-11;27-01-2017;11:17:00;T1;11:18:15;11:18:41;1,25;27-01-2017 11:18;27-01-2017 11:18;0,43333334;Inv1;Medicamentos;0,6;1,4;2;Inv4;7;Inv5;0,95
254;HPVF52-11;27-01-2017;11:17:00;T1;11:18:32;11:19:22;1,533333333;27-01-2017 11:18;27-01-2017 11:19;0,83333334;Inv1;Medicamentos;0,08;3,45;3,53;Inv4;17,25;Inv5;0,35
256;YH6315-11;27-01-2017;11:21:00;T1;11:22:10;11:24:10;1,166666667;27-01-2017 11:22;27-01-2017 11:24;1,999999996;Inv1;Textil;0,02;1,6;1,62;Inv4;6,4;Inv5;0,65
258;YG9274-11;27-01-2017;11:23:00;T1;11:24:08;11:26:03;1,133333333;27-01-2017 11:24;27-01-2017 11:26;1,916666664;Inv1;Textil;0,55;0,35;0,9;Inv4;1,4;Inv5;0,49
259;RW1432-11;27-01-2017;11:23:00;T1;11:24:30;11:25:01;1,5;27-01-2017 11:24;27-01-2017 11:25;0,516666672;Inv1;Medicamentos;0,08;5,94;6,02;Inv4;29,72;Inv5;0,66
260;DCYD98-11;27-01-2017;11:24:00;T1;11:26:11;11:27:01;2,183333333;27-01-2017 11:26;27-01-2017 11:27;0,83333334;Inv1;Medicamentos;0,1;7,7;7,79;Inv4;23,09;Inv5;0,82
261;XT6925-11;27-01-2017;11:25:00;T1;11:27:03;11:28:41;2,05;27-01-2017 11:27;27-01-2017 11:28;1,633333338;Inv1;Textos ;0,48;1,24;1,72;Inv4;3,71;Inv5;0,63
266;NF8454-11;27-01-2017;11:27:00;T1;11:30:20;11:31:50;3,333333333;27-01-2017 11:30;27-01-2017 11:31;1,499999994;Inv1;Textos ;0,31;1,56;1,88;Inv4;7,82;Inv5;0,43
268;SB5800-11;27-01-2017;11:31:00;T1;11:31:42;11:34:47;0,7;27-01-2017 11:31;27-01-2017 11:34;3,083333342;Inv1;Textil;0,63;1,99;2,61;Inv4;9,93;Inv5;0,25
